"Timestamp","1) If you are below the age of 18, do you have parental consent to participating in this survey? ","2) What's your current level of study? ","What part of New York do you reside in? ","Please state your gender.","Please choose the ethnicity that most appropriately describes you.","How often do you use technology for fun? ","Has your use of technology for fun increased or decreased due to COVID? ","How do you spend time on the internet for fun? ","Why do you use social media? ","Do you ever feel any, or more of the following: ","What do you turn to when you experience the issues stated in the previous question? ","Do you agree with any of the following negative effects of technology? ","Do you agree with any of the following positive effects of technology?","How long do you use technology for academic purposes every day?","How productive would you rate yourself?","Has your productivity increased or decreased due to COVID?","How do you use the internet for academic purposes?","How do your parents feel about the change in your use of technology for academic purposes from pre-Covid to present? ","How often do you use technology to check the news?","Where do you get your news from?","What fake news/inaccurate resources have you been exposed to on the internet during the pandemic?","What are a few online services or examples that you trust/use to obtain covid information from?"
"2021/06/10 10:45:56 AM AST","Yes","7th grade","Queens","Female","Black or African American","I don't use technology outside of school.","Decreased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To make new friends","I am worried about school","Social Media;Texting My Friends;Listening to music;Watching TV;Workout/ exercise","Bullying/rumor spread;harms relationships/ lack of in-person contact;causes distractions/addictions","connecting with friends/family;Keeps you entertained/upbe;getting support from others","3-9 hours","5","Stayed the same","Youtube Videos;Reading Research Articles","They feel I use technology more than I should/ more than I did before","Once a week","Newspapers (online or paper)","The tik tok Party","I dont know"
"2021/06/10 10:46:10 AM AST","Yes","7th grade","Queens","Female","South-East Asian (India, Bangladesh, etc.)","About 1-3 hours a day","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.)","To be updated on current events and world issues","I am worried about school;I am worried I don't get enough movement;I'm worried about what I consume","Texting My Friends;Listening to music;Workout/ exercise","Bullying/rumor spread;harms relationships/ lack of in-person contact;unrealistic views;causes distractions/addictions;peer pressure;causes mental health issues;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Meeting others with same interests;Keeps you entertained/upbe;self-expression;getting support from others;learning new things","3-9 hours","10","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos;Documentaries;Wikipedia;Reading Research Articles;Virtual Contests/ competitions/ hackathons","They feel I use technology more than I should/ more than I did before","Once a week","News Channels","A lot of news on fake news talking about certain cures for covid 19 that may be innacurate.","CNN, Fox News, BBC news"
"2021/06/10 10:46:10 AM AST","Yes","7th grade","Queens","Female","Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To make new friends","I feel stressed;I feel lonely;I am worried about my family/ friends/ overseas family;I am worried about school;I'm often sleepy/tired during the daytime","Social Media;Listening to music;Reading;Workout/ exercise","harms relationships/ lack of in-person contact;causes distractions/addictions;causes mental health issues","connecting with friends/family;Meeting others with same interests;self-expression","3-9 hours","5","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Virtual Libraries;Virtual Contests/ competitions/ hackathons","They feel I use technology more than I should/ more than I did before","Once a week","From friends and family","when covid first started, i saw a post on tiktok saying it would be over by june 2020 and everyone believed it. so when june 2020 came, people who believed the tiktok stopped using masks and walked around with no care.","tywls news, friends & family (with trustable sources)"
"2021/06/10 10:47:41 AM AST","Yes","7th grade","Queens","Female","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To be updated on current events and world issues","I feel stressed;I am worried about school","Texting My Friends;Talking to my parents;Listening to music;Watching TV","Bullying/rumor spread;causes mental health issues;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe","3-9 hours","8","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments","Neutral","Once a week","Social Medias","I saw a post on Instagram, and also some on YouTube, and tiktok, that the covid vaccine has a tracking chip in it, which is quite ridiculous obviously that is fake, but that is one of the false things on social media I've came up on. ","Like the covid websites, or news channels, I don't know the specific names. "
"2021/06/10 10:47:54 AM AST","Yes","7th grade","Queens","Demi-girl (under the non-binary umbrella but still a little bit a girl)","White American","About 4-8 hours a day","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family","I feel stressed;I feel lonely;I'm worried about getting COVID;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Consulting a trusted adult;Talking to my parents;Guidance counselor;Listening to music;Watching TV;hang out with friends in person","Bullying/rumor spread;harms relationships/ lack of in-person contact;unrealistic views;causes distractions/addictions;peer pressure;causes mental health issues;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Meeting others with same interests;Keeps you entertained/upbe;self-expression;getting support from others;learning new things","3-9 hours","7","both increase and decrease in different ways","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos;Documentaries;Wikipedia;Reading Research Articles;Virtual Contests/ competitions/ hackathons","They feel I use technology more than I should/ more than I did before","I don't check the news","From friends and family","I've seen a lot of political drama","CDC"
"2021/06/10 10:48:08 AM AST","Yes","7th grade","Queens","Female","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.)","just for fun ","I feel stressed;I am worried about my family/ friends/ overseas family;I am worried about school;I'm constantly unmotivated or feeling down;I feel stressed out with school and I really miss my family in pakistan ","Watching TV;Going to the park with my friends","Bullying/rumor spread;peer pressure;Spread of fake news/ misinformation","connecting with friends/family;Keeps you entertained/upbe;learning new things","3-9 hours","6","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments","They feel I use technology more than I should/ more than I did before","Once a week","I don't check the news","i do not really know ","i do not know"
"2021/06/10 10:48:08 AM AST","Yes","7th grade","Queens","Female","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;To be updated on current events and world issues","I don't feel any of these.","I don't experience any of the issues stated in the previous question","Bullying/rumor spread;harms relationships/ lack of in-person contact;peer pressure","connecting with friends/family;Keeps you entertained/upbe;learning new things","3-9 hours","8","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos","Neutral","About every day","Social Medias","i've seen the same post ^","my sister, or mom usually give me updates, or i will check on social media. "
"2021/06/10 10:48:43 AM AST","Yes","7th grade","Queens","Female","Hispanic or Latino","About 4-8 hours a day","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","I do not own any form of social media ","I'm worried about getting COVID;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime","Talking to my parents;Listening to music;Watching TV;Reading;Workout/ exercise","Bullying/rumor spread;peer pressure;causes mental health issues","connecting with friends/family;self-expression;learning new things","3-9 hours","10","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Wikipedia;Virtual Libraries;Reading Research Articles","They feel I use technology more than I should/ more than I did before","About every day","News Channels","I see posts about the vaccine and about covid and how its not real or the vaccine is putting covid-19 in your body and stuff on social media like Instagram and Facebook. ","I like to use news channels and articles like the New York Times"
"2021/06/10 10:49:26 AM AST","Yes","7th grade","Queens","Female","Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","About 4-8 hours a day","About the same","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;To find new hobbies and inspirations","I am worried about school","Listening to music;Homework/ School;Reading;Studying","Bullying/rumor spread;peer pressure;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;learning new things","3-9 hours","7","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Reading Research Articles","Neutral","Once a week","Social Medias","Celebrities dating rumors and fake accounts.","Wikipedia, professional online articals"
"2021/06/10 10:49:31 AM AST","Yes","7th grade","Queens","Male","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;To be updated on current events and world issues;To comment on other people's lives;For academic purposes","I feel lonely;I am worried about school;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Listening to music;Reading","harms relationships/ lack of in-person contact;causes distractions/addictions;Spread of fake news/ misinformation","Meeting others with same interests;Keeps you entertained/upbe;self-expression","3-9 hours","5","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos;Reading Research Articles","They feel I use technology more than I should/ more than I did before","Every other day","From friends and family","I saw a post on tiktok which said that Trump died even though he didn’t. ","I dont have any "
"2021/06/10 10:50:04 AM AST","Yes","7th grade","Queens","Prefer not to say","Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To make new friends;To be updated on current events and world issues","I feel stressed;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime","Listening to music;Watching TV;Reading","Bullying/rumor spread;causes distractions/addictions;peer pressure;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Meeting others with same interests;getting support from others;learning new things","3-9 hours","7","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos;Wikipedia;Reading Research Articles","They feel I use technology more than I should/ more than I did before","About every day","News Channels","There was alot of false info about covid vaccines. ","cdc"
"2021/06/10 10:52:29 AM AST","Yes","7th grade","Queens","Non-Binary","Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","About 4-8 hours a day","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","just entertainment","I feel stressed;I feel lonely;I am worried about my family/ friends/ overseas family;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends","Bullying/rumor spread;causes mental health issues;Spread of fake news/ misinformation","easier to find news/info;Keeps you entertained/upbe;learning new things","3-9 hours","5","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Reading Research Articles","They've never said anything about it since COVID, I don't know if they feel neutral/positive/negative","Whenever it comes up/barely","I don't check the news","I don't look at news","Official websites for covid information (unsure specifically what websites)"
"2021/06/10 10:52:35 AM AST","Yes","8th grade","Queens","Female","Greek and Hispanic","Over 8 hours a day","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","I dont use because im not allowed","I feel stressed;I feel lonely;I'm constantly unmotivated or feeling down","Consulting a trusted adult;Or sitting in my room alone just thinking for a while","Bullying/rumor spread;harms relationships/ lack of in-person contact;unrealistic views;causes distractions/addictions;peer pressure;causes mental health issues","easier to find news/info","3-9 hours","9","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Documentaries;Reading Research Articles;Virtual Contests/ competitions/ hackathons","They feel I use technology more than I should/ more than I did before","Only when my parents have it on","News Channels","I dont know because im not allowed to have social media. ","Idk"
"2021/06/10 12:42:11 PM AST","Yes","7th grade","Queens","Prefer not to say","White American","About 1-3 hours a day","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Reading Services (iBook, Kindle, Wattpad, etc.);duolingo","To be updated on current events and world issues","I feel stressed;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Texting My Friends;Listening to music;Watching TV;Homework/ School;Reading;visiting and hanging out with my friends","Bullying/rumor spread;peer pressure;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe;self-expression;getting support from others","10-12 hours","7","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments","no idea","once in a while","News Channels","I don't have twitter but I saw this twitter post on another platform by Donald Trump and he was saying that our moon was a part of mars. I just laughed at the stupidity I didn't believe him.","cdc"
"2021/06/10 9:12:04 PM AST","Yes","11th grade","Bronx","Male","South-East Asian (India, Bangladesh, etc.)","About 1-3 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;To comment on other people's lives;For academic purposes","I feel stressed;I am worried about school","Workout/ exercise","unrealistic views;causes distractions/addictions;causes mental health issues","connecting with friends/family;self-expression;learning new things","3-9 hours","10","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Documentaries;Virtual Libraries","Neutral","Never","I don't check the news","Wikipedia","Google"
"2021/06/10 9:13:37 PM AST","I am 18+","12th grade","Queens","Male","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;To be updated on current events and world issues;For academic purposes","I am worried about my family/ friends/ overseas family","Social Media;Texting My Friends;Talking to my parents;Listening to music;Watching TV;Homework/ School;Reading","causes distractions/addictions","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe;getting support from others","3-9 hours","8","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Documentaries;Wikipedia","Neutral","Every other day","Social Medias","Fake instagram posts, tiktoks, etc.","Some news apps like CNN or BBC are trustworthy resources "
"2021/06/10 10:46:20 PM AST","Yes","7th grade","Queens","Male","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;To be updated on current events and world issues;To comment on other people's lives;For academic purposes","I feel lonely;I am worried about school;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Listening to music;Reading","harms relationships/ lack of in-person contact;causes distractions/addictions;Spread of fake news/ misinformation","Meeting others with same interests;Keeps you entertained/upbe;self-expression","3-9 hours","5","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos;Reading Research Articles","They feel I use technology more than I should/ more than I did before","Every other day","From friends and family","I saw a post on tiktok which said that Trump died even though he didn’t. ","I dont have any "
"2021/06/11 8:39:21 AM AST","Yes","10th grade","Queens","Female","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To make new friends;To be updated on current events and world issues;For academic purposes","I feel stressed;I feel lonely;I am worried about school;I am worried I don't get enough movement;I'm worried about what I consume","Social Media;Texting My Friends;Listening to music;Watching TV;Workout/ exercise","Bullying/rumor spread;peer pressure;Spread of fake news/ misinformation","connecting with friends/family;Meeting others with same interests;self-expression","3-9 hours","5","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Documentaries;Wikipedia;Reading Research Articles","They feel I use technology more than I should/ more than I did before","Every other day","News Channels","A lot of misinformation on covid restrictions. ","fda"
"2021/06/11 8:40:06 AM AST","Yes","10th grade","Queens","Female","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;To be updated on current events and world issues","I feel stressed;I feel lonely;I am worried about school;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Listening to music;Reading","unrealistic views;causes distractions/addictions;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Meeting others with same interests;learning new things","1-2 hours","6","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Reading Research Articles","They feel I use technology more than I should/ more than I did before","Once a week","Social Medias","I saw fake and misguided posts about the election, and currently seeing fake posts about the Palestinian & Israeli conflict.","From government websites or trustworthy articles"
"2021/06/11 8:43:10 AM AST","Yes","10th grade","Queens","Female","Black or African American","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To get the latest news on celebrities;To be updated on current events and world issues;For academic purposes","I'm often sleepy/tired during the daytime","Listening to music;Clubs/ Extracurricular Activites;Workout/ exercise","Bullying/rumor spread;causes mental health issues;Spread of fake news/ misinformation","connecting with friends/family;Meeting others with same interests;self-expression","3-9 hours","8","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Reading Research Articles","Neutral","About every day","News Channels","I saw that on Instagram people were making comments about the vaccine and saying that only negative effects came about.","New York Times, News app on iPhones"
"2021/06/11 8:43:23 AM AST","Yes","10th grade","Queens","Female","Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;To get the latest news on celebrities","I feel stressed;I am worried about my family/ friends/ overseas family;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm worried about what I consume","Listening to music;Homework/ School","Bullying/rumor spread;causes distractions/addictions","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe","3-9 hours","9","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Reading Research Articles;Virtual Contests/ competitions/ hackathons","They feel I use technology more than I should/ more than I did before","About every day","News Channels","I've seen a lot of people post racist/sexist/biased things on the internet during the pandemic.","News channels (GMA, ABC News, etc) on the TV and Google News"
"2021/06/11 8:43:41 AM AST","Yes","10th grade","Queens","Female","Middle Eastern (Morocco, Egypt, etc.)","About 4-8 hours a day","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.)","To be updated on current events and world issues","I'm worried about getting COVID;I am worried about my family/ friends/ overseas family;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime","Talking to my parents;Watching TV;Reading","peer pressure;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;getting support from others","3-9 hours","8","Increase","Online Classes/ Attending tutoring sessions/ review sessions;Youtube Videos","They feel I use technology more than I should/ more than I did before","About every day","Social Medias","I don't think a remember seeing a recent post containing inaccurate news or information.   "," www.cdc.gov"
"2021/06/11 10:14:09 AM AST","Yes","11th grade","Queens","Male","White American","About 4-8 hours a day","About the same","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;To be updated on current events and world issues","I don't feel any of these.","I don't experience any of the issues stated in the previous question","Bullying/rumor spread;harms relationships/ lack of in-person contact;causes distractions/addictions;peer pressure;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Meeting others with same interests;Keeps you entertained/upbe;getting support from others;learning new things","1-2 hours","9","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions","Neutral","Once a week","Social Medias","The vaccine has a chip","CDC"
"2021/06/11 10:14:52 AM AST","Yes","11th grade","Bronx","Male","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","About the same","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To be updated on current events and world issues;For academic purposes","I feel stressed;I am worried about school","Social Media;Texting My Friends;Listening to music;Workout/ exercise","Bullying/rumor spread;unrealistic views;causes distractions/addictions","connecting with friends/family;easier to find news/info;Meeting others with same interests;Keeps you entertained/upbe;self-expression;getting support from others;learning new things","1-2 hours","8","Increase","Online Classes/ Attending tutoring sessions/ review sessions;Youtube Videos;Documentaries;Wikipedia;Reading Research Articles","They feel I use technology more than I should/ more than I did before","About every day","From friends and family","A famous person’s death which wasn’t funny at all.","Snapchat and Spotify"
"2021/06/11 10:16:00 AM AST","Yes","11th grade","Bronx","Male","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","About the same","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;To be updated on current events and world issues","I feel stressed;I feel lonely;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Social Media;Talking to my parents;Listening to music;Watching TV;Homework/ School;Workout/ exercise","Bullying/rumor spread;unrealistic views;causes mental health issues","connecting with friends/family;Meeting others with same interests;Keeps you entertained/upbe","3-9 hours","3","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Documentaries;Wikipedia;Reading Research Articles","Neutral","About every day","Newspapers (online or paper)","Just general posts on social media that does not have any hard backed evidence behind it. A lot of people also lie about vaccines and masks to support their beliefs. ","The CDC website, New York times, Online Covid livestreams. "
"2021/06/11 10:17:28 AM AST","Yes","11th grade","Bronx","Male","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.)","To converse with my friends and family;For academic purposes","I don't feel any of these.","I don't experience any of the issues stated in the previous question","Bullying/rumor spread;causes distractions/addictions;Spread of fake news/ misinformation","connecting with friends/family;Keeps you entertained/upbe;learning new things","3-9 hours","7","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos","Neutral","Once a week","Social Medias","I am not too sure since I don’t look into the news too much. I can’t quite remember fake news that I have seen before. But I can say that Fox News is a fake news source.","I use the CDC website "
"2021/06/11 10:19:46 AM AST","Yes","11th grade","Bronx","Female","White American;Black or African American","About 4-8 hours a day","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To get the latest news on celebrities;For academic purposes","I feel stressed;I am worried about school","Texting My Friends;Listening to music;Reading","Bullying/rumor spread;causes distractions/addictions;Spread of fake news/ misinformation","connecting with friends/family;self-expression;learning new things","3-9 hours","7","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;Youtube Videos;Wikipedia","Neutral","Every other day","News Channels","I've been exposed to the idea that vaccines have tracking microchips in them, but that idea has been debunked by a number of health professionals.","I trust newspaper outlets such as the New York Times and Daily Post."
"2021/06/11 10:23:07 AM AST","Yes","11th grade","Manhattan","Male","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;To be updated on current events and world issues;For academic purposes","I feel lonely;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime","Texting My Friends;Guidance counselor;Watching TV;Homework/ School;Clubs/ Extracurricular Activites;Reading;Workout/ exercise","Bullying/rumor spread;harms relationships/ lack of in-person contact;unrealistic views;causes distractions/addictions;peer pressure;causes mental health issues;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Meeting others with same interests;Keeps you entertained/upbe;self-expression;getting support from others;learning new things","3-9 hours","7","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos;Documentaries;Wikipedia","They feel I use technology more than I should/ more than I did before","About every day","News Channels","Liberal news media","CDC"
"2021/06/11 10:26:50 AM AST","Yes","11th grade","Brooklyn","Male","Black or African American;Hispanic or Latino","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To be updated on current events and world issues","I don't feel any of these.","I don't experience any of the issues stated in the previous question","Bullying/rumor spread;harms relationships/ lack of in-person contact;unrealistic views;causes distractions/addictions;peer pressure;causes mental health issues;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Meeting others with same interests;Keeps you entertained/upbe;self-expression;getting support from others;learning new things","3-9 hours","6","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Reading Research Articles","Neutral","About every day","Social Medias","I have seen several posts on tiktok making false rumors about the vaccine with negative side effects such as causing disease or negatively affecting one’s health.","Official and authorized sources such as doctors and nurses."
